Type,Facility,ProjScope,Location,Timing,FundCost,VisionType,State,MRP_ID,MPMS/DB_1
Preservation - Transit,SEPTA Regional Rail lines,Positive Train Control,Pennsylvania Subregion,2014-2018,72.8,Transit - Funded,PA,AC,60255
Preservation - Transit,"Trenton, Wilmington, and Paoli-Thorndale lines",Amtrak lease agreements for trackage rights,Pennsylvania Subregion,2014-2040,1762.1,Transit - Funded,PA,T1.06,59966
Preservation - Transit,NJ Transit Buses,Procure 358 40' and 288 45' buses,New Jersey Subregion,2014-2040,539.4,Transit - Funded,NJ,T2.01N,N/A
Preservation - Transit,NJ Transit NE Corridor Rail vehicles,Replace 42 commuter rail vehicles,"Mercer County, NJ",2025-2040,284.6,Transit - Funded,NJ,BY,N/A
Preservation - Transit,SEPTA Buses,Normal replacement of vehicles,Pennsylvania Subregion,2014-2040,1325.4,Transit - Funded,PA,T2.01P,90512
Preservation - Transit,SEPTA Rail Vehicles,"Purchase of new locomotives, bi-level coaches, trolleys, Silverliner VIs, and Broad Street Line vehicles",Pennsylvania Subregion,2014-2040,3887.5,Transit - Funded,PA,BG,60638
Preservation - Transit,Computer Aided Radio Dispatch (CARD) system,Signal and communication system upgrades and replacements,Pennsylvania Subregion,2014-2024,32.5,Transit - Funded,PA,BI,102571
Preservation - Transit,Real Time Information,New passenger information at rail and transit stations,Pennsylvania Subregion,2014-2040,30.1,Transit - Funded,PA,CD,102571
Preservation - Transit,Vehicle Maintenance Facilities,"Steel wheel lift program, wheel truing program, and washers",Pennsylvania Subregion,2014-2024,45.2,Transit - Funded,PA,BX,102569
Preservation - Transit,Building Maintenance Program,"Boiler program, tank program, emergency generators, fire suppression",Pennsylvania Subregion,2014-2024,44.4,Transit - Funded,PA,CC,102569
